DocDate,DocRef,AcCode,Customer Name,Postal Code,TelNo,AcCur,AcCurWTaxAmt,HomeWTaxAmt,ProjectCode,Location,Sales Person,SalesPerson Name,Sales contact
20151208,D161000582,A0043USD,Kiwifruit Control Pte Ltd,681722,98282333,USD,-224704.72,-314586.61,P5001,1,S091,Danny,85088856
20150825,D161000297,A0048USD,Mango Expert Pte Ltd,232909,99190644,USD,-606.99,-833.7,P5002,3,S092,Eugiene,85094519
20150730,D161000319,A0053USD,Apple Master Pte Ltd,983831,99184116,USD,-624,-873.6,P5003,5,S091,Danny,85088856
20151202,B161-0566,A0058USD,Black sapote Dealer Pte Ltd,118472,98888191,USD,13038.16,18253.42,P5004,5,S091,Danny,85088856
20151124,B161-0516,A0066USD,Jambul Expert Pte Ltd,404269,95252744,USD,84645,118503,P5005,4,S091,Danny,85088856
20151119,B161-0439,B0007USD,Strawberry Dealer Pte Ltd,403667,96147665,USD,17000,23800,P5006,5,S095,Mary,85095164
20151210,B161-0587,B0008USD,Strawberry Marketing Pte Ltd,994180,96845426,USD,397648,5560206.5,P5007,1,S094,John,85084094
20151210,B161-0589,B0008USD,Strawberry Marketing Pte Ltd,994180,96845426,USD,199752,281410.62,P5008,5,S093,Lily,85089620
20151109,D161000496,B0015USD,Pumpkin Logistics Pte Ltd,747808,98255767,USD,-550,-770,P5009,2,S088,Ali,85084183
20151130,D161000556,B0015USD,Pumpkin Logistics Pte Ltd,747808,98255767,USD,-550,-770,P5010,2,S092,Eugiene,85094519
20151208,D161000585,B0015USD,Pumpkin Logistics Pte Ltd,747808,98255767,USD,-9218,-12905.2,P5011,1,S095,Mary,85095164
20151110,B161-0480,C0008USD,Tamarillo Marketing Pte Ltd,584599,96435545,USD,87450,122430,P5012,5,S093,Lily,85089620
20151124,B161-0512,C0008USD,Tamarillo Marketing Pte Ltd,584599,96435545,USD,94050,131670,P5013,4,S088,Ali,85084183
20151201,B161-0545,C0009USD,Buddha's hand (fingered citron) Innovation Pte Ltd,117238,96249489,USD,41210,57694,P5014,4,S090,Charles,85081768
20151201,B161-0546,C0009USD,Buddha's hand (fingered citron) Innovation Pte Ltd,117238,96249489,USD,41210,57694,P5015,3,S089,Bala,85084539
20151201,B161-0547,C0009USD,Buddha's hand (fingered citron) Innovation Pte Ltd,117238,96249489,USD,42120,58968,P5016,4,S089,Bala,85084539
20151207,B161-0588,C0018USD,Plantain Dealer Pte Ltd,247216,98601282,USD,247466.35,346452.89,P5017,4,S091,Danny,85088856
20151209,B161-0581,C0018USD,Plantain Dealer Pte Ltd,247216,98601282,USD,319375,447125,P5018,1,S090,Charles,85081768
20151119,B161-0519,C0020USD,Durian Import Pte Ltd,850059,95801996,USD,61184.2,85657.88,P5019,5,S091,Danny,85088856
20151122,B161-0542,D0003USD,Squash Innovation Pte Ltd,763797,96511275,USD,22567.5,31594.5,P5020,1,S094,John,85084094
20151209,B161-0580,D0012USD,Nectarine Import & Export Pte Ltd,418203,95427692,USD,94470.3,132258.42,P5021,2,S088,Ali,85084183
20151106,B161-0499,D0013SGD,Redcurrant United Pte Ltd,423834,97184210,SGD,11709.04,11709.04,P5022,5,S093,Lily,85089620
20151209,B161-0583,E0011USD,Salal berry Distribution Pte Ltd,105580,94521854,USD,4912.16,6877.02,P5023,3,S091,Danny,85088856
20151119,B161-0420,E0015USD,Salmonberry Innovation Pte Ltd,136742,95345734,USD,60000,84000,P5024,5,S088,Ali,85084183
20151112,B161-0507,G0002SGD,Akee Export Pte Ltd,688385,95973446,SGD,14642.52,14642.52,P5025,3,S089,Bala,85084539
20151124,B161-0525,G0005USD,Raspberry Trading Pte Ltd,411807,97189210,USD,89775,125685,P5026,1,S092,Eugiene,85094519
20151127,B161-0557,G0007USD,Cranberry Export Pte Ltd,683736,97067971,USD,207408,290371.2,P5027,1,S094,John,85084094
20151203,B161-0579,G0014USD,Mulberry Trading Pte Ltd,218685,97519444,USD,42900,60060,P5028,5,S093,Lily,85089620
20151102,B161-0482,H0006USD,Watermelon Export Pte Ltd,504752,95363972,USD,144220.4,201908.56,P5029,2,S094,John,85084094
20151118,B161-0530,H0008SGD,Jambul Trading Pte Ltd,614932,96010008,SGD,7976.05,7976.05,P5030,1,S095,Mary,85095164
20151119,B161-0535,H0008SGD,Jambul Trading Pte Ltd,614932,96010008,SGD,2049.95,2049.95,P5031,1,S091,Danny,85088856
20151127,B161-0550,H0008SGD,Jambul Trading Pte Ltd,614932,96010008,SGD,5229.63,5229.63,P5032,1,S095,Mary,85095164
20151207,B161-0577,H0008SGD,Jambul Trading Pte Ltd,614932,96010008,SGD,8308.55,8308.55,P5033,5,S095,Mary,85095164
20150420,B151-0747,H0010USD,Honeydew Distribution Pte Ltd,106054,94510476,USD,334.3,468.02,P5034,4,S092,Eugiene,85094519
